X.chrom	chromStart	chromEnd	gene_id	score	strand	name	exonic_length
X	1520662	1532921	ENSG00000236017.3	.	+	ASMTL-AS1	1335
Y	1470662	1482921	ENSGR0000236017.3	.	+	ASMTL-AS1	1335
X	1413025	1413099	ENSG00000263835.1	.	+	BX649553.1	75
Y	1363025	1363099	ENSGR0000263835.1	.	+	BX649553.1	75
X	1412508	1412582	ENSG00000263980.1	.	+	BX649553.2	75
Y	1362508	1362582	ENSGR0000263980.1	.	+	BX649553.2	75
X	1410648	1410721	ENSG00000264510.1	.	+	BX649553.3	74
Y	1360648	1360721	ENSGR0000264510.1	.	+	BX649553.3	74
X	1410987	1411060	ENSG00000264819.1	.	+	BX649553.4	74
Y	1360987	1361060	ENSGR0000264819.1	.	+	BX649553.4	74
14	70037483	70038032	ENSG00000255994.1	.	-	CCDC177	550
14	70038216	70040339	ENSG00000267909.1	.	-	CCDC177	2124
X	2609220	2659350	ENSG00000002586.13	.	+	CD99	3284
Y	2559220	2609350	ENSGR0000002586.13	.	+	CD99	3284
X	2527389	2575270	ENSG00000223773.2	.	+	CD99P1	5921
Y	2477389	2525270	ENSGR0000223773.2	.	+	CD99P1	5921
17	15468797	15469590	ENSG00000181464.2	.	-	CDRT1	794
17	15468798	15522826	ENSG00000241322.4	.	-	CDRT1	4285
19	33793763	33795960	ENSG00000267296.2	.	+	CEBPA-AS1	2198
19	33793976	33795656	ENSG00000178863.6	.	+	CEBPA-AS1	1679
15	72559087	72612287	ENSG00000273025.1	.	-	CELF6	1902
15	72577068	72612470	ENSG00000140488.10	.	-	CELF6	3588
6	31895475	31919861	ENSG00000243649.4	.	+	CFB	6622
6	31895475	31919825	ENSG00000244255.1	.	+	CFB	4069
16	69151913	69166487	ENSG00000168802.8	.	-	CHTF8	3383
16	69152757	69154331	ENSG00000263203.1	.	-	CHTF8	1575
1	154947129	154951725	ENSG00000173207.8	.	+	CKS1B	2338
5	61808070	61808309	ENSG00000268942.1	.	-	CKS1B	240
16	28477974	28503333	ENSG00000261832.1	.	-	CLN3	1721
16	28477983	28506896	ENSG00000188603.12	.	-	CLN3	4736
14	105952654	105955284	ENSG00000213145.5	.	+	CRIP1	2485
14	105953536	105958604	ENSG00000257341.1	.	+	CRIP1	1408
X	1314890	1331616	ENSG00000205755.6	.	-	CRLF2	1205
Y	1264890	1281616	ENSGR0000205755.6	.	-	CRLF2	1205
3	97540884	97594132	ENSG00000233280.2	.	+	CRYBG3	4261
3	97595819	97663810	ENSG00000080200.5	.	+	CRYBG3	5003
X	1387693	1429274	ENSG00000198223.10	.	+	CSF2RA	3830
Y	1337693	1379274	ENSGR0000198223.10	.	+	CSF2RA	3830
7	143268819	143271478	ENSG00000176227.9	.	+	CTAGE15	2660
7	143268894	143271480	ENSG00000271079.1	.	+	CTAGE15	2587
1	160185505	160254920	ENSG00000132716.14	.	-	DCAF8	8274
1	160187254	160254920	ENSG00000258465.2	.	-	DCAF8	2875
X	155255323	155257848	ENSG00000227159.3	.	-	DDX11L16	1720
Y	59358329	59360854	ENSGR0000227159.3	.	-	DDX11L16	1720
8	11921898	11929256	ENSG00000233050.1	.	-	DEFB130	240
8	12168471	12175825	ENSG00000232948.1	.	-	DEFB130	240
14	24407940	24458048	ENSG00000215256.3	.	-	DHRS4-AS1	3593
14	24407940	24409196	ENSG00000197775.1	.	+	DHRS4-AS1	1257
X	2137557	2420846	ENSG00000169084.8	.	-	DHRSX	3620
Y	2087557	2370846	ENSGR0000169084.8	.	-	DHRSX	3620
X	2252336	2254451	ENSG00000223571.1	.	-	DHRSX-IT1	651
Y	2202336	2204451	ENSGR0000223571.1	.	-	DHRSX-IT1	651
X	155105299	155105548	ENSG00000237040.1	.	+	DPH3P2	250
Y	59208305	59208554	ENSGR0000237040.1	.	+	DPH3P2	250
1	155036224	155060014	ENSG00000143590.9	.	+	EFNA3	2098
1	155036224	155059283	ENSG00000251246.1	.	+	EFNA3	1042
1	160965001	160991138	ENSG00000158769.13	.	-	F11R	5066
1	160967747	161008752	ENSG00000270149.1	.	-	F11R	2114
X	484510	484837	ENSG00000234958.1	.	-	FABP5P13	328
Y	434510	434837	ENSGR0000234958.1	.	-	FABP5P13	328
4	77135193	77204933	ENSG00000189157.9	.	+	FAM47E	9508
4	77172874	77232282	ENSG00000272414.1	.	+	FAM47E	3242
9	34638130	34651032	ENSG00000213930.7	.	+	GALT	4363
9	34646642	34657110	ENSG00000258728.1	.	+	GALT	902
7	99798276	99869837	ENSG00000239521.3	.	-	GATS	4824
7	99798283	99869855	ENSG00000160844.6	.	-	GATS	2733
15	82635130	82641706	ENSG00000205281.6	.	-	GOLGA6L10	1808
15	83188579	83195251	ENSG00000254374.2	.	+	GOLGA6L10	1642
15	82722223	82731338	ENSG00000197978.8	.	+	GOLGA6L9	4356
15	83098710	83108085	ENSG00000196648.6	.	+	GOLGA6L9	6853
10	99609996	99631337	ENSG00000155265.6	.	+	GOLGA7B	3409
10	99627889	99631294	ENSG00000269783.1	.	+	GOLGA7B	3406
X	220025	230886	ENSG00000178605.8	.	-	GTPBP6	2363
Y	170025	180886	ENSGR0000178605.8	.	-	GTPBP6	2363
12	54410715	54449813	ENSG00000198353.6	.	+	HOXC4	2724
12	54447661	54449814	ENSG00000273266.1	.	+	HOXC4	1666
16	15005077	15005170	ENSG00000265537.1	.	+	hsa-mir-3180-3	94
16	16403732	16403825	ENSG00000265373.1	.	+	hsa-mir-3180-3	94
16	18496035	18496128	ENSG00000266291.1	.	-	hsa-mir-3180-3	94
X	148558521	148615470	ENSG00000010404.13	.	-	IDS	10496
X	148564074	148615470	ENSG00000241489.3	.	-	IDS	3311
18	44661027	44702652	ENSG00000267228.2	.	-	IER3IP1	598
18	44681413	44702745	ENSG00000134049.3	.	-	IER3IP1	1481
16	33629681	33630128	ENSG00000271178.1	.	+	IGHV3OR16-13	353
16	33752443	33752887	ENSG00000259842.2	.	-	IGHV3OR16-13	343
X	1455509	1501578	ENSG00000185291.6	.	+	IL3RA	1706
Y	1405509	1451578	ENSGR0000185291.6	.	+	IL3RA	1706
X	155227246	155240482	ENSG00000124334.12	.	+	IL9R	2504
Y	59330252	59343488	ENSGR0000124334.12	.	+	IL9R	2504
16	284545	319942	ENSG00000167930.11	.	+	ITFG3	5157
16	299546	319942	ENSG00000269881.1	.	+	ITFG3	2242
17	45331212	45421658	ENSG00000259207.3	.	+	ITGB3	4913
17	45331263	45421658	ENSG00000259753.1	.	+	ITGB3	2785
20	10618332	10654694	ENSG00000101384.7	.	-	JAG1	6292
20	10625847	10627014	ENSG00000270408.1	.	-	JAG1	568
11	47593749	47600567	ENSG00000123444.9	.	-	KBTBD4	3302
11	47599277	47599823	ENSG00000231880.1	.	+	KBTBD4	547
14	35591052	35743271	ENSG00000100890.11	.	+	KIAA0391	3433
14	35591755	35786680	ENSG00000258790.1	.	+	KIAA0391	3857
19	51499274	51512837	ENSG00000269741.1	.	-	KLK9	1933
19	51503806	51512890	ENSG00000213022.4	.	-	KLK9	1655
19	36208921	36229779	ENSG00000105663.10	.	+	KMT2B	10279
19	36208921	36229779	ENSG00000272333.1	.	+	KMT2B	8470
3	42850938	43097363	ENSG00000273291.1	.	+	KRBOX1	1654
3	42850975	42984284	ENSG00000240747.3	.	+	KRBOX1	2943
X	505971	506087	ENSG00000229232.1	.	-	KRT18P53	117
Y	455971	456087	ENSGR0000229232.1	.	-	KRT18P53	117
17	38785049	38821393	ENSG00000264058.1	.	-	KRT222	2502
17	38810917	38821433	ENSG00000213424.4	.	-	KRT222	3169
9	139632619	139642905	ENSG00000204003.4	.	-	LCN6	2651
9	139638463	139642980	ENSG00000267206.1	.	-	LCN6	1681
2	111160511	111230652	ENSG00000257207.4	.	-	LIMS3L	3202
2	111222628	111230511	ENSG00000256671.5	.	-	LIMS3L	1256
X	2531029	2533388	ENSG00000230542.1	.	-	LINC00102	1340
Y	2481029	2483388	ENSGR0000230542.1	.	-	LINC00102	1340
X	1515320	1518295	ENSG00000236871.2	.	+	LINC00106	592
Y	1465320	1468295	ENSGR0000236871.2	.	+	LINC00106	592
X	281725	282586	ENSG00000226179.1	.	+	LINC00685	428
Y	231725	232586	ENSGR0000226179.1	.	+	LINC00685	428
X	170410	171758	ENSG00000228572.2	.	+	LL0YNC03-29C1.1	259
Y	120410	121758	ENSGR0000228572.2	.	+	LL0YNC03-29C1.1	259
11	1874200	1913497	ENSG00000130592.9	.	+	LSP1	5399
13	25591541	25591675	ENSG00000269099.1	.	+	LSP1	135
14	24774940	24781259	ENSG00000213906.5	.	+	LTB4R2	1705
14	24778161	24781252	ENSG00000272658.1	.	+	LTB4R2	3092
14	47308826	48144157	ENSG00000139915.14	.	-	MDGA2	8223
14	47311134	48143999	ENSG00000272781.1	.	-	MDGA2	3078
3	155155329	155155612	ENSG00000272096.1	.	-	Metazoa_SRP	284
5	154097945	154098249	ENSG00000272197.1	.	-	Metazoa_SRP	305
6	74197315	74197600	ENSG00000271986.1	.	-	Metazoa_SRP	286
8	71383347	71392858	ENSG00000253143.2	.	-	Metazoa_SRP	736
8	74746010	74746277	ENSG00000272469.1	.	-	Metazoa_SRP	268
9	73194081	73194377	ENSG00000272232.1	.	-	Metazoa_SRP	297
10	74342561	74342842	ENSG00000272536.1	.	+	Metazoa_SRP	282
11	117937952	117938252	ENSG00000272075.1	.	+	Metazoa_SRP	301
11	130180075	130180369	ENSG00000272412.1	.	+	Metazoa_SRP	295
17	47187124	47187413	ENSG00000271770.1	.	+	Metazoa_SRP	290
21	47955709	47956003	ENSG00000272283.1	.	+	Metazoa_SRP	295
22	23474919	23475192	ENSG00000272019.1	.	-	Metazoa_SRP	274
X	133348416	133348694	ENSG00000272244.1	.	-	Metazoa_SRP	279
Y	27605054	27605329	ENSG00000272042.1	.	+	Metazoa_SRP	276
11	119209652	119217383	ENSG00000235718.3	.	-	MFRP	4029
11	119209652	119217368	ENSG00000259159.1	.	-	MFRP	3902
X	39696790	39707612	ENSG00000261435.1	.	-	MIR1587	1976
X	39696815	39696867	ENSG00000263972.1	.	+	MIR1587	53
16	18505166	18505708	ENSG00000257527.1	.	-	MIR3179-3	543
16	18505751	18505834	ENSG00000266454.1	.	-	MIR3179-3	84
17	72743458	72745051	ENSG00000266036.1	.	-	MIR3615	565
17	72744752	72744838	ENSG00000264624.1	.	+	MIR3615	87
X	1412811	1412885	ENSG00000265658.1	.	+	MIR3690	75
Y	1362811	1362885	ENSGR0000265658.1	.	+	MIR3690	75
1	247353153	247374158	ENSG00000227671.3	.	-	MIR3916	2163
1	247365269	247365362	ENSG00000263568.1	.	-	MIR3916	94
2	178077454	178077527	ENSG00000263721.1	.	+	MIR4444-1	74
3	75263627	75263700	ENSG00000266780.1	.	+	MIR4444-1	74
5	134263720	134264016	ENSG00000198868.3	.	-	MIR4461	297
5	134263729	134263802	ENSG00000263963.1	.	+	MIR4461	74
16	30886543	30906541	ENSG00000260083.1	.	+	MIR4519	1815
16	30886587	30886644	ENSG00000265991.1	.	-	MIR4519	58
17	27696735	27717795	ENSG00000264808.1	.	-	MIR4523	762
17	27717680	27717748	ENSG00000263719.1	.	+	MIR4523	69
2	99771461	99811761	ENSG00000273155.1	.	+	MRPL30	669
2	99797542	99814089	ENSG00000185414.15	.	+	MRPL30	2898
7	55954970	56022932	ENSG00000249773.3	.	+	MRPS17	1732
7	56019512	56024192	ENSG00000239789.1	.	+	MRPS17	2157
7	100547187	100611118	ENSG00000169894.13	.	+	MUC3A	5533
7	100547257	100550424	ENSG00000228273.2	.	+	MUC3A	1005
16	3415099	3536960	ENSG00000262621.2	.	+	NAA60	3891
16	3493611	3536963	ENSG00000122390.13	.	+	NAA60	5619
19	8373167	8386263	ENSG00000167774.2	.	-	NDUFA7	580
19	8373490	8386280	ENSG00000267855.1	.	-	NDUFA7	1575
10	102265385	102289638	ENSG00000255339.2	.	-	NDUFB8	2139
10	102267203	102289757	ENSG00000166136.11	.	-	NDUFB8	2572
8	133036467	133097902	ENSG00000258417.2	.	-	OC90	2471
8	133036467	133071627	ENSG00000253117.4	.	-	OC90	1782
11	5090802	5091691	ENSG00000236621.3	.	+	OR52E1	888
11	5090802	5091727	ENSG00000273085.1	.	+	OR52E1	926
11	56180172	56181156	ENSG00000272987.1	.	+	OR5AL1	985
11	56180220	56181144	ENSG00000181395.6	.	+	OR5AL1	924
X	1581465	1656000	ENSG00000182162.5	.	-	P2RY8	4459
Y	1531465	1606000	ENSGR0000182162.5	.	-	P2RY8	4459
16	29827285	29841948	ENSG00000185928.7	.	+	PAGR1	2165
16	29827832	29831438	ENSG00000263136.2	.	+	PAGR1	1143
16	70010200	70099851	ENSG00000196696.8	.	-	PDXDC2P	6186
16	70044654	70099848	ENSG00000255185.1	.	-	PDXDC2P	2707
10	99344131	99436191	ENSG00000155252.12	.	+	PI4K2A	4864
10	99344131	99433667	ENSG00000249967.1	.	+	PI4K2A	1848
19	18263928	18281350	ENSG00000105647.10	.	+	PIK3R2	4524
19	18263968	18288927	ENSG00000268173.1	.	+	PIK3R2	5142
X	192989	220023	ENSG00000182378.8	.	+	PLCXD1	6191
Y	142989	170023	ENSGR0000182378.8	.	+	PLCXD1	6191
7	102277474	102312076	ENSG00000228049.5	.	-	POLR2J2	2534
7	102277496	102312088	ENSG00000267645.1	.	-	POLR2J2	1598
7	43980494	44058774	ENSG00000214783.5	.	-	POLR2J4	6492
7	44053161	44058769	ENSG00000272655.1	.	-	POLR2J4	1424
X	294698	347690	ENSG00000167393.12	.	-	PPP2R3B	9015
Y	244698	297690	ENSGR0000167393.12	.	-	PPP2R3B	9015
11	14515329	14665181	ENSG00000129084.13	.	-	PSMA1	3711
11	14515329	14541890	ENSG00000256206.2	.	-	PSMA1	1221
7	42948872	42971773	ENSG00000256646.3	.	-	PSMA2	3068
7	42956460	42971822	ENSG00000106588.6	.	-	PSMA2	5332
20	35624752	35724398	ENSG00000080839.7	.	-	RBL1	5954
20	35724188	35725581	ENSG00000269846.1	.	+	RBL1	1394
8	86726454	86728113	ENSG00000270416.1	.	+	REXO1L10P	1660
8	86756718	86758745	ENSG00000255940.1	.	-	REXO1L10P	2028
X	1437739	1438052	ENSG00000265350.1	.	-	RN7SL355P	314
Y	1387739	1388052	ENSGR0000265350.1	.	-	RN7SL355P	314
X	1419149	1419268	ENSG00000223274.1	.	-	RNA5SP498	120
Y	1369149	1369268	ENSGR0000223274.1	.	-	RNA5SP498	120
14	21051051	21077954	ENSG00000259060.2	.	-	RNASE11	2467
14	21051054	21078043	ENSG00000173464.10	.	-	RNASE11	2614
16	8799313	8799374	ENSG00000238417.1	.	-	RNU7-63P	62
16	8825273	8825416	ENSG00000260764.1	.	-	RNU7-63P	144
17	28386070	28386165	ENSG00000207011.1	.	-	RNY4P13	96
17	28386072	28386165	ENSG00000267482.1	.	-	RNY4P13	94
X	950956	955100	ENSG00000237531.1	.	+	RP11-309M23.1	588
Y	900956	905100	ENSGR0000237531.1	.	+	RP11-309M23.1	588
X	1851477	1874878	ENSG00000223511.1	.	+	RP13-297E16.4	747
Y	1801477	1824878	ENSGR0000223511.1	.	+	RP13-297E16.4	747
X	1886240	1887669	ENSG00000234622.1	.	+	RP13-297E16.5	548
Y	1836240	1837669	ENSGR0000234622.1	.	+	RP13-297E16.5	548
X	969238	970836	ENSG00000225661.2	.	-	RPL14P5	730
Y	919238	920836	ENSGR0000225661.2	.	-	RPL14P5	730
3	58291974	58310422	ENSG00000163684.7	.	+	RPP14	8608
3	58303341	58303847	ENSG00000255154.3	.	+	RPP14	507
5	13250347	13250774	ENSG00000242608.1	.	-	RPS23P5	428
5	81560976	81561078	ENSG00000251374.1	.	-	RPS23P5	103
1	14022565	14022694	ENSG00000253085.1	.	-	SCARNA11	130
11	117134515	117134668	ENSG00000252992.1	.	+	SCARNA11	154
12	6690640	6690775	ENSG00000251898.1	.	-	SCARNA11	136
12	8750105	8750236	ENSG00000252727.1	.	+	SCARNA11	132
6	43511881	43512007	ENSG00000252218.1	.	+	SCARNA15	127
15	83421636	83425960	ENSG00000252690.2	.	+	SCARNA15	4325
20	41933195	41933319	ENSG00000252193.1	.	+	SCARNA15	125
1	9142755	9142938	ENSG00000252404.1	.	+	SCARNA16	184
1	101598709	101598895	ENSG00000252765.1	.	+	SCARNA16	187
2	53697585	53697767	ENSG00000251942.1	.	-	SCARNA16	183
2	197550872	197551054	ENSG00000252923.1	.	-	SCARNA16	183
11	12926364	12926535	ENSG00000252329.1	.	-	SCARNA16	172
1	26332497	26332621	ENSG00000252190.1	.	+	SCARNA17	125
18	47340393	47377429	ENSG00000267322.1	.	+	SCARNA17	1615
18	47340503	47340646	ENSG00000251992.1	.	+	SCARNA17	144
22	20455222	20455364	ENSG00000252571.1	.	+	SCARNA17	143
22	21744085	21744227	ENSG00000252020.1	.	-	SCARNA17	143
22	21899186	21899328	ENSG00000252143.1	.	+	SCARNA17	143
1	26332707	26332790	ENSG00000252691.1	.	+	SCARNA18	84
5	82360023	82360156	ENSG00000238835.1	.	-	SCARNA18	134
18	47340731	47340813	ENSG00000252139.1	.	+	SCARNA18	83
22	20455450	20455532	ENSG00000252024.1	.	+	SCARNA18	83
22	21743917	21743999	ENSG00000252314.1	.	-	SCARNA18	83
22	21899414	21899496	ENSG00000252605.1	.	+	SCARNA18	83
1	171737210	171737315	ENSG00000253060.1	.	+	SCARNA20	106
1	204697119	204697234	ENSG00000251861.1	.	+	SCARNA20	116
11	8576563	8576693	ENSG00000252778.1	.	+	SCARNA20	131
14	63945990	63946131	ENSG00000252800.1	.	+	SCARNA20	142
15	75413877	75414007	ENSG00000252722.1	.	-	SCARNA20	131
17	26345796	26345933	ENSG00000251818.1	.	+	SCARNA20	138
17	58308877	58309007	ENSG00000252577.1	.	-	SCARNA20	131
1	15868660	15868799	ENSG00000251866.1	.	+	SCARNA21	140
2	24496483	24496610	ENSG00000251805.1	.	-	SCARNA21	128
3	41729360	41729525	ENSG00000252409.1	.	-	SCARNA21	166
17	7809440	7809578	ENSG00000252835.1	.	+	SCARNA21	139
1	29016177	29016306	ENSG00000252777.1	.	+	SCARNA24	130
17	70814975	70815111	ENSG00000252274.1	.	-	SCARNA24	137
1	155895749	155895877	ENSG00000252808.1	.	-	SCARNA4	129
2	131687335	131687457	ENSG00000252829.2	.	-	SCARNA4	123
2	234197322	234197586	ENSG00000251791.1	.	+	SCARNA6	265
16	21598948	21599185	ENSG00000252798.1	.	+	SCARNA6	238
11	111957497	111990353	ENSG00000204370.4	.	+	SDHD	2126
11	111957627	112064528	ENSG00000255292.2	.	+	SDHD	1190
16	30389454	30407312	ENSG00000180096.7	.	-	SEPT1	4217
16	30389755	30393863	ENSG00000270466.1	.	-	SEPT1	1119
X	585079	620146	ENSG00000185960.8	.	+	SHOX	4384
Y	535079	570146	ENSGR0000185960.8	.	+	SHOX	4384
17	3468738	3539543	ENSG00000262304.1	.	-	SHPK	7400
17	3511556	3539616	ENSG00000197417.7	.	-	SHPK	3838
19	52114781	52150151	ENSG00000105501.7	.	-	SIGLEC5	3319
19	52115344	52150142	ENSG00000268500.1	.	-	SIGLEC5	2310
17	79670401	79687569	ENSG00000262660.1	.	+	SLC25A10	1922
17	79670404	79688042	ENSG00000183048.7	.	+	SLC25A10	3287
X	1505045	1511617	ENSG00000169100.8	.	-	SLC25A6	2164
Y	1455045	1461617	ENSGR0000169100.8	.	-	SLC25A6	2164
21	35445870	35478561	ENSG00000272962.1	.	+	SLC5A3	11576
21	35445870	35478559	ENSG00000198743.5	.	+	SLC5A3	11574
11	15503354	15503439	ENSG00000253072.1	.	-	snoMBII-202	86
17	18847312	18847386	ENSG00000212618.1	.	+	snoMBII-202	75
12	97945915	97946006	ENSG00000251844.1	.	-	snoMe28S-Am2634	92
16	7481218	7481297	ENSG00000252405.1	.	+	snoMe28S-Am2634	80
17	19323592	19323655	ENSG00000265335.1	.	+	snoMe28S-Am2634	64
4	83870321	83870397	ENSG00000252834.1	.	+	snoR442	77
10	17721187	17721296	ENSG00000251959.1	.	+	snoR442	110
10	68254457	68254557	ENSG00000252203.1	.	+	snoR442	101
2	203917008	203917141	ENSG00000202059.1	.	-	SNORA1	134
8	56815282	56815414	ENSG00000199405.1	.	-	SNORA1	133
11	19612703	19612838	ENSG00000207407.1	.	-	SNORA1	136
11	93465170	93465299	ENSG00000206834.1	.	-	SNORA1	130
16	24344736	24344868	ENSG00000201541.1	.	-	SNORA1	133
4	120490854	120490980	ENSG00000221245.1	.	+	SNORA11	127
10	74885838	74885965	ENSG00000221164.1	.	-	SNORA11	128
14	70270920	70271048	ENSG00000221060.1	.	-	SNORA11	129
15	45506646	45507242	ENSG00000261709.2	.	-	SNORA11	597
21	35828408	35828535	ENSG00000221398.1	.	-	SNORA11	128
X	54840803	54840930	ENSG00000221716.1	.	+	SNORA11	128
X	54953738	54953866	ENSG00000221750.1	.	+	SNORA11	129
2	55792839	55792986	ENSG00000212175.1	.	+	SNORA12	148
8	131175218	131175373	ENSG00000212342.1	.	+	SNORA12	156
10	101996913	101997059	ENSG00000212464.1	.	-	SNORA12	147
7	56128163	56128295	ENSG00000207168.1	.	+	SNORA15	133
7	64530916	64531050	ENSG00000207062.1	.	+	SNORA15	135
7	65225039	65225173	ENSG00000206785.1	.	+	SNORA15	135
22	19237396	19237489	ENSG00000251940.1	.	+	SNORA15	94
13	32994527	32994653	ENSG00000212293.1	.	-	SNORA16	127
X	17062503	17062634	ENSG00000201467.1	.	-	SNORA16	132
10	115580218	115580349	ENSG00000212589.1	.	+	SNORA17	132
12	72033135	72033263	ENSG00000212461.1	.	+	SNORA17	129
3	177342070	177342197	ENSG00000200288.1	.	-	SNORA18	128
5	29070603	29070717	ENSG00000252601.1	.	+	SNORA18	115
5	78516765	78516896	ENSG00000206592.1	.	+	SNORA18	132
6	94588824	94588947	ENSG00000252249.1	.	+	SNORA18	124
11	93466632	93466763	ENSG00000207145.1	.	-	SNORA18	132
15	32220506	32220637	ENSG00000206849.1	.	+	SNORA18	132
15	34889659	34889759	ENSG00000252425.1	.	-	SNORA18	101
X	138992063	138992193	ENSG00000252719.1	.	+	SNORA18	131
2	86591259	86591388	ENSG00000251974.1	.	+	SNORA19	130
10	120819523	120819650	ENSG00000207468.1	.	-	SNORA19	128
10	120820495	120820623	ENSG00000222588.1	.	-	SNORA19	129
12	60757603	60757716	ENSG00000251822.1	.	+	SNORA19	114
1	84743004	84743140	ENSG00000199959.1	.	+	SNORA2	137
2	10295199	10295333	ENSG00000206647.1	.	-	SNORA2	135
6	149915761	149915895	ENSG00000202343.1	.	+	SNORA2	135
6	160201282	160201413	ENSG00000207392.1	.	-	SNORA20	132
7	39368602	39368733	ENSG00000206947.1	.	-	SNORA20	132
8	81229174	81229304	ENSG00000206649.1	.	-	SNORA20	131
X	5328163	5328292	ENSG00000201660.1	.	+	SNORA20	130
Y	18250128	18250259	ENSG00000252689.1	.	-	SNORA20	132
17	37007777	37007912	ENSG00000252699.1	.	-	SNORA21	136
17	37009116	37009247	ENSG00000199293.1	.	-	SNORA21	132
7	56123058	56123195	ENSG00000206603.1	.	+	SNORA22	138
7	64526377	64526510	ENSG00000207344.1	.	+	SNORA22	134
7	65220513	65220646	ENSG00000206634.1	.	+	SNORA22	134
12	40213552	40213685	ENSG00000199571.1	.	-	SNORA22	134
3	128433414	128433548	ENSG00000207130.1	.	-	SNORA24	135
15	65577799	65577929	ENSG00000206903.1	.	-	SNORA24	131
1	110815106	110815229	ENSG00000200536.1	.	+	SNORA25	124
1	237718340	237718471	ENSG00000252290.1	.	-	SNORA25	132
1	246996750	246996831	ENSG00000252011.1	.	-	SNORA25	82
2	228752347	228752460	ENSG00000272237.1	.	+	SNORA25	114
3	32079018	32079145	ENSG00000201701.1	.	+	SNORA25	128
3	178886871	178886998	ENSG00000201957.1	.	-	SNORA25	128
7	115221369	115221496	ENSG00000202377.1	.	-	SNORA25	128
8	130880836	130880962	ENSG00000200075.1	.	-	SNORA25	127
8	140120673	140120777	ENSG00000251744.1	.	+	SNORA25	105
10	93835999	93836122	ENSG00000252993.1	.	+	SNORA25	124
11	93463679	93463812	ENSG00000207112.1	.	-	SNORA25	134
12	31964022	31964124	ENSG00000252204.1	.	+	SNORA25	103
13	34674848	34674975	ENSG00000199196.1	.	-	SNORA25	128
13	100436111	100436237	ENSG00000201245.1	.	-	SNORA25	127
13	106549872	106549992	ENSG00000252550.1	.	-	SNORA25	121
14	47429626	47429749	ENSG00000251735.1	.	+	SNORA25	124
15	85395729	85395846	ENSG00000200991.1	.	-	SNORA25	118
16	28190419	28190544	ENSG00000200652.1	.	+	SNORA25	126
18	75143519	75143645	ENSG00000199392.1	.	-	SNORA25	127
X	99355082	99355219	ENSG00000252296.1	.	+	SNORA25	138
1	52190447	52190568	ENSG00000212624.1	.	-	SNORA26	122
